ID,Name,Pokedex Number,Supertype,Subtypes,HP,Types,Attacks,Weaknesses,Retreat Cost,Set Name,Release Date,Artist,Rarity,Card Image (Small),Card Image HiRes,TCG Player URL,TCG Price Date,TCG Market Price USD (Normal),TCG Low Price USD (Normal),TCG High Price USD (Normal),TCG Market Price USD (Reverse Holofoil),TCG Low Price USD (Reverse Holofoil),TCG High Price USD (Reverse Holofoil),TCG Market Price USD (Holofoil),TCG Low Price USD (Holofoil),TCG High Price USD (Holofoil)
swsh1-1,Celebi V,251.0,Pokémon,"Basic, V",180,Grass,"Find a Friend (), Line Force (50+)",Fire ×2,1,Sword & Shield,2020/02/07,PLANETA Igarashi,Rare Holo V,https://images.pokemontcg.io/swsh1/1.png,https://images.pokemontcg.io/swsh1/1_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-1,2025/02/22,,,,,,,0.83,0.49,7.99
swsh1-2,Roselia,315.0,Pokémon,Basic,70,Grass,Absorb (10),Fire ×2,1,Sword & Shield,2020/02/07,sowsow,Common,https://images.pokemontcg.io/swsh1/2.png,https://images.pokemontcg.io/swsh1/2_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-2,2025/02/22,0.07,0.01,1.31,0.2,0.05,2.0,,,
swsh1-3,Roselia,315.0,Pokémon,Basic,70,Grass,"Sweet Scent (), Sting (20)",Fire ×2,1,Sword & Shield,2020/02/07,Naoyo Kimura,Common,https://images.pokemontcg.io/swsh1/3.png,https://images.pokemontcg.io/swsh1/3_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-3,2025/02/22,0.05,0.01,1.31,0.2,0.05,1.14,,,
swsh1-4,Roserade,407.0,Pokémon,Stage 1,120,Grass,"Paralyze Poison (30), Mega Drain (90)",Fire ×2,1,Sword & Shield,2020/02/07,chibi,Rare,https://images.pokemontcg.io/swsh1/4.png,https://images.pokemontcg.io/swsh1/4_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-4,2025/02/22,0.18,0.03,2.0,0.49,0.24,4.99,,,
swsh1-5,Cottonee,546.0,Pokémon,Basic,60,Grass,Attach (10),Fire ×2,1,Sword & Shield,2020/02/07,ryoma uratsuka,Common,https://images.pokemontcg.io/swsh1/5.png,https://images.pokemontcg.io/swsh1/5_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-5,2025/02/22,0.06,0.01,5.01,0.2,0.06,2.0,,,
swsh1-6,Whimsicott,547.0,Pokémon,Stage 1,100,Grass,"Cotton Ride (), Leaf Step (50)",Fire ×2,1,Sword & Shield,2020/02/07,kodama,Rare,https://images.pokemontcg.io/swsh1/6.png,https://images.pokemontcg.io/swsh1/6_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-6,2025/02/22,0.18,0.06,1.19,2.36,0.18,3.98,,,
swsh1-7,Maractus,556.0,Pokémon,Basic,110,Grass,"Zzzt (20), Powerful Needles (60×)",Fire ×2,2,Sword & Shield,2020/02/07,Atsuko Nishida,Common,https://images.pokemontcg.io/swsh1/7.png,https://images.pokemontcg.io/swsh1/7_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-7,2025/02/22,0.06,0.01,5.01,0.16,0.09,2.0,,,
swsh1-8,Durant,632.0,Pokémon,Basic,110,Grass,Bite Together (30+),Fire ×2,1,Sword & Shield,2020/02/07,Miki Tanaka,Rare,https://images.pokemontcg.io/swsh1/8.png,https://images.pokemontcg.io/swsh1/8_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-8,2025/02/22,0.11,0.02,2.0,0.34,0.16,2.0,,,
swsh1-9,Dhelmise V,781.0,Pokémon,"Basic, V",220,Grass,"Anchor Anger (30+), Giga Hammer (200)",Fire ×2,2,Sword & Shield,2020/02/07,Eske Yoshinob,Rare Holo V,https://images.pokemontcg.io/swsh1/9.png,https://images.pokemontcg.io/swsh1/9_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-9,2025/02/22,,,,,,,0.56,0.26,89.0
swsh1-10,Grookey,810.0,Pokémon,Basic,60,Grass,Fury Swipes (10×),Fire ×2,1,Sword & Shield,2020/02/07,Naoki Saito,Common,https://images.pokemontcg.io/swsh1/10.png,https://images.pokemontcg.io/swsh1/10_hires.png,https://prices.pokemontcg.io/tcgplayer/swsh1-10,2025/02/22,0.05,0.01,1.33,0.19,0.08,2.0,,,
