ID,Name,Pokedex Number,Supertype,Subtypes,HP,Types,Attacks,Weaknesses,Retreat Cost,Set Name,Release Date,Artist,Rarity,Card Image (Small),Card Image HiRes,TCG Player URL,TCG Price Date,TCG Market Price USD (Normal),TCG Low Price USD (Normal),TCG High Price USD (Normal),TCG Market Price USD (Reverse Holofoil),TCG Low Price USD (Reverse Holofoil),TCG High Price USD (Reverse Holofoil),TCG Market Price USD (Holofoil),TCG Low Price USD (Holofoil),TCG High Price USD (Holofoil)
base1-1,Alakazam,65.0,Pokémon,Stage 2,80,Psychic,Confuse Ray (30),Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/1.png,https://images.pokemontcg.io/base1/1_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-1,2025/02/22,,,,,,,66.05,34.25,149.99
base1-2,Blastoise,9.0,Pokémon,Stage 2,100,Water,Hydro Pump (40+),Lightning ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/2.png,https://images.pokemontcg.io/base1/2_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-2,2025/02/22,,,,,,,168.56,100.0,235.22
base1-3,Chansey,113.0,Pokémon,Basic,120,Colorless,"Scrunch (), Double-edge (80)",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/3.png,https://images.pokemontcg.io/base1/3_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-3,2025/02/22,,,,,,,37.92,15.59,74.98
base1-4,Charizard,6.0,Pokémon,Stage 2,120,Fire,Fire Spin (100),Water ×2,3,Base,1999/01/09,Mitsuhiro Arita,Rare Holo,https://images.pokemontcg.io/base1/4.png,https://images.pokemontcg.io/base1/4_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-4,2025/02/22,,,,,,,446.45,285.0,1249.99
base1-5,Clefairy,35.0,Pokémon,Basic,40,Colorless,"Sing (), Metronome ()",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/5.png,https://images.pokemontcg.io/base1/5_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-5,2025/02/22,,,,,,,27.67,15.0,47.99
base1-6,Gyarados,130.0,Pokémon,Stage 1,100,Water,"Dragon Rage (50), Bubblebeam (40)",Grass ×2,3,Base,1999/01/09,Mitsuhiro Arita,Rare Holo,https://images.pokemontcg.io/base1/6.png,https://images.pokemontcg.io/base1/6_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-6,2025/02/22,,,,,,,35.51,14.0,87.59
base1-7,Hitmonchan,107.0,Pokémon,Basic,70,Fighting,"Jab (20), Special Punch (40)",Psychic ×2,2,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/7.png,https://images.pokemontcg.io/base1/7_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-7,2025/02/22,,,,,,,20.37,7.44,999.99
base1-8,Machamp,68.0,Pokémon,Stage 2,100,Fighting,Seismic Toss (60),Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/8.png,https://images.pokemontcg.io/base1/8_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-8,2023/03/27,,,,,,,,,
base1-9,Magneton,82.0,Pokémon,Stage 1,60,Lightning,"Thunder Wave (30), Selfdestruct (80)",Fighting ×2,1,Base,1999/01/09,Keiji Kinebuchi,Rare Holo,https://images.pokemontcg.io/base1/9.png,https://images.pokemontcg.io/base1/9_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-9,2025/02/22,,,,,,,23.75,9.25,69.99
base1-10,Mewtwo,150.0,Pokémon,Basic,60,Psychic,"Psychic (10+), Barrier ()",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/10.png,https://images.pokemontcg.io/base1/10_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-10,2025/02/22,,,,,,,40.15,20.15,9999.0
base1-11,Nidoking,34.0,Pokémon,Stage 2,90,Grass,"Thrash (30+), Toxic (20)",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/11.png,https://images.pokemontcg.io/base1/11_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-11,2025/02/22,,,,,,,32.08,16.87,69.99
base1-12,Ninetales,38.0,Pokémon,Stage 1,80,Fire,"Lure (), Fire Blast (80)",Water ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/12.png,https://images.pokemontcg.io/base1/12_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-12,2025/02/22,,,,,,,22.02,11.0,59.99
base1-13,Poliwrath,62.0,Pokémon,Stage 2,90,Water,"Water Gun (30+), Whirlpool (40)",Grass ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/13.png,https://images.pokemontcg.io/base1/13_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-13,2025/02/22,,,,,,,29.69,11.0,59.98
base1-14,Raichu,26.0,Pokémon,Stage 1,80,Lightning,"Agility (20), Thunder (60)",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/14.png,https://images.pokemontcg.io/base1/14_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-14,2025/02/22,,,,,,,44.36,24.41,74.99
base1-15,Venusaur,3.0,Pokémon,Stage 2,100,Grass,Solarbeam (60),Fire ×2,2,Base,1999/01/09,Mitsuhiro Arita,Rare Holo,https://images.pokemontcg.io/base1/15.png,https://images.pokemontcg.io/base1/15_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-15,2025/02/22,,,,,,,125.02,72.99,300.0
base1-16,Zapdos,145.0,Pokémon,Basic,90,Lightning,"Thunder (60), Thunderbolt (100)",,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/16.png,https://images.pokemontcg.io/base1/16_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-16,2025/02/22,,,,,,,39.73,19.75,77.99
base1-17,Beedrill,15.0,Pokémon,Stage 2,80,Grass,"Twineedle (30×), Poison Sting (40)",Fire ×2,0,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/17.png,https://images.pokemontcg.io/base1/17_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-17,2025/02/22,3.39,1.34,9999.0,,,,,,
base1-18,Dragonair,148.0,Pokémon,Stage 1,80,Colorless,"Slam (30×), Hyper Beam (20)",,2,Base,1999/01/09,Mitsuhiro Arita,Rare,https://images.pokemontcg.io/base1/18.png,https://images.pokemontcg.io/base1/18_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-18,2025/02/22,13.76,6.0,19.99,,,,,,
base1-19,Dugtrio,51.0,Pokémon,Stage 1,70,Fighting,"Slash (40), Earthquake (70)",Grass ×2,2,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/19.png,https://images.pokemontcg.io/base1/19_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-19,2025/02/22,5.38,3.0,10.0,,,,,,
base1-20,Electabuzz,125.0,Pokémon,Basic,70,Lightning,"Thundershock (10), Thunderpunch (30+)",Fighting ×2,2,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/20.png,https://images.pokemontcg.io/base1/20_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-20,2025/02/22,8.91,4.0,12.99,,,,,,
base1-21,Electrode,101.0,Pokémon,Stage 1,80,Lightning,Electric Shock (50),Fighting ×2,1,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/21.png,https://images.pokemontcg.io/base1/21_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-21,2025/02/22,5.99,2.5,9999.0,,,,,,
base1-22,Pidgeotto,17.0,Pokémon,Stage 1,60,Colorless,"Whirlwind (20), Mirror Move ()",Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/22.png,https://images.pokemontcg.io/base1/22_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-22,2025/02/22,10.01,4.5,15.0,,,,,,
base1-23,Arcanine,59.0,Pokémon,Stage 1,100,Fire,"Flamethrower (50), Take Down (80)",Water ×2,3,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/23.png,https://images.pokemontcg.io/base1/23_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-23,2025/02/22,2.72,0.68,9999.0,,,,,,
base1-24,Charmeleon,5.0,Pokémon,Stage 1,80,Fire,"Slash (30), Flamethrower (50)",Water ×2,1,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/24.png,https://images.pokemontcg.io/base1/24_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-24,2025/02/22,1.18,0.25,9999.0,,,,,,
base1-25,Dewgong,87.0,Pokémon,Stage 1,80,Water,"Aurora Beam (50), Ice Beam (30)",Lightning ×2,3,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/25.png,https://images.pokemontcg.io/base1/25_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-25,2025/02/22,1.99,0.25,4.99,,,,,,
base1-26,Dratini,147.0,Pokémon,Basic,40,Colorless,Pound (10),,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/26.png,https://images.pokemontcg.io/base1/26_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-26,2025/02/22,1.42,0.16,4.0,,,,,,
base1-27,Farfetch'd,83.0,Pokémon,Basic,50,Colorless,"Leek Slap (30), Pot Smash (30)",Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/27.png,https://images.pokemontcg.io/base1/27_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-27,2025/02/22,0.99,0.19,6.49,,,,,,
base1-28,Growlithe,58.0,Pokémon,Basic,60,Fire,Flare (20),Water ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/28.png,https://images.pokemontcg.io/base1/28_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-28,2025/02/22,0.84,0.11,9999.0,,,,,,
base1-29,Haunter,93.0,Pokémon,Stage 1,60,Psychic,"Hypnosis (), Dream Eater (50)",,1,Base,1999/01/09,Keiji Kinebuchi,Uncommon,https://images.pokemontcg.io/base1/29.png,https://images.pokemontcg.io/base1/29_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-29,2025/02/22,1.08,0.25,89.0,,,,,,
base1-30,Ivysaur,2.0,Pokémon,Stage 1,60,Grass,"Vine Whip (30), Poisonpowder (20)",Fire ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/30.png,https://images.pokemontcg.io/base1/30_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-30,2025/02/22,2.23,0.65,9999.0,,,,,,
base1-31,Jynx,124.0,Pokémon,Basic,70,Psychic,"Doubleslap (10×), Meditate (20+)",Psychic ×2,2,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/31.png,https://images.pokemontcg.io/base1/31_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-31,2025/02/22,1.13,0.25,9999.0,,,,,,
base1-32,Kadabra,64.0,Pokémon,Stage 1,60,Psychic,"Recover (), Super Psy (50)",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/32.png,https://images.pokemontcg.io/base1/32_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-32,2025/02/22,1.26,0.39,9999.0,,,,,,
base1-33,Kakuna,14.0,Pokémon,Stage 1,80,Grass,"Stiffen (), Poisonpowder (20)",Fire ×2,2,Base,1999/01/09,Keiji Kinebuchi,Uncommon,https://images.pokemontcg.io/base1/33.png,https://images.pokemontcg.io/base1/33_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-33,2025/02/22,1.04,0.25,89.0,,,,,,
base1-34,Machoke,67.0,Pokémon,Stage 1,80,Fighting,"Karate Chop (50-), Submission (60)",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/34.png,https://images.pokemontcg.io/base1/34_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-34,2025/02/22,0.88,0.15,9999.0,,,,,,
base1-35,Magikarp,129.0,Pokémon,Basic,30,Water,"Tackle (10), Flail (10×)",Lightning ×2,1,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/35.png,https://images.pokemontcg.io/base1/35_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-35,2025/02/22,1.93,0.25,89.0,,,,,,
base1-36,Magmar,126.0,Pokémon,Basic,50,Fire,"Fire Punch (30), Flamethrower (50)",Water ×2,2,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/36.png,https://images.pokemontcg.io/base1/36_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-36,2025/02/22,2.33,0.49,89.0,,,,,,
base1-37,Nidorino,33.0,Pokémon,Stage 1,60,Grass,"Double Kick (30×), Horn Drill (50)",Psychic ×2,1,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/37.png,https://images.pokemontcg.io/base1/37_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-37,2025/02/22,1.98,0.7,89.0,,,,,,
base1-38,Poliwhirl,61.0,Pokémon,Stage 1,60,Water,"Amnesia (), Doubleslap (30×)",Grass ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/38.png,https://images.pokemontcg.io/base1/38_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-38,2025/02/22,1.39,0.22,9999.0,,,,,,
base1-39,Porygon,137.0,Pokémon,Basic,30,Colorless,"Conversion 1 (), Conversion 2 ()",Fighting ×2,1,Base,1999/01/09,Tomoaki Imakuni,Uncommon,https://images.pokemontcg.io/base1/39.png,https://images.pokemontcg.io/base1/39_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-39,2025/02/22,1.77,0.75,11.5,,,,,,
base1-40,Raticate,20.0,Pokémon,Stage 1,60,Colorless,"Bite (20), Super Fang ()",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/40.png,https://images.pokemontcg.io/base1/40_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-40,2025/02/22,1.87,0.29,5.88,,,,,,
base1-41,Seel,86.0,Pokémon,Basic,60,Water,Headbutt (10),Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/41.png,https://images.pokemontcg.io/base1/41_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-41,2025/02/22,0.88,0.22,89.0,,,,,,
base1-42,Wartortle,8.0,Pokémon,Stage 1,70,Water,"Withdraw (), Bite (40)",Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/42.png,https://images.pokemontcg.io/base1/42_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-42,2025/02/22,2.83,0.35,89.0,,,,,,
base1-43,Abra,63.0,Pokémon,Basic,30,Psychic,Psyshock (10),Psychic ×2,0,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/43.png,https://images.pokemontcg.io/base1/43_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-43,2025/02/22,0.93,0.15,9999.0,,,,,,
